,Company,priceRs.,Change%
0,Spectrm Talent Mngmt,103.35,-19.98%
1,Shreeshay Engineers,24.10,-19.67%
2,North Eastern Carry.,23.85,-13.74%
3,Add-Shop E-Retail,30.07,-11.58%
4,Renaissance Global,101.05,-9.94%
5,Kesar Terminal&Infra,35.45,-9.91%
6,Felix Industries,108.25,-9.79%
7,Zeal Global Services,156.00,-8.42%
8,KHFM Hospitality,44.55,-8.33%
9,Eighty Jewellers,42.00,-8.3%
10,Dev Labtech Venture,95.00,-7.8%
11,Chandra Bhagat Pharm,103.75,-7.37%
12,Patels Airtemp (I),425.00,-7.34%
13,Veranda Learning Sln,199.10,-7.11%
14,Natural Capsules,348.00,-7.11%
