,Company,PriceRs.,Day LowRs.
0,Honasa Consumer,299.35,256.30
1,Petronet LNG,195.10,191.70
2,Campus Activewear,255.30,237.80
3,Adani Wilmar,294.20,293.05
4,Rain Industries,144.20,140.25
5,Spectrm Talent Mngmt,103.35,103.35
6,Chemcrux Enterprises,286.80,246.10
7,Add-Shop E-Retail,30.13,29.01
8,Womancart,110.00,110.00
9,Arvind Ship Agencies,60.95,59.20
10,AKG Exim,22.60,22.40
11,KK Shah Hospitals,53.60,52.50
12,Oneclick Logistics,66.00,65.00
13,Compuage Infocom,9.40,9.40
14,Orient Bell,409.50,405.05
