,Company,priceRs.,Change%
0,Coral Laboratories,366.00,+20%
1,Vanta Bioscience,50.40,+20%
2,Majestic Auto,259.25,+20%
3,Hariyana Ship Break,111.64,+19.99%
4,Sky Industries,80.14,+19.99%
5,Nalin Lease Finance,40.95,+19.95%
6,BMW Industries,50.00,+18.51%
7,Inani Marbles & Inds,23.90,+18.32%
8,ESAF Small Finance,70.25,+17.08%
9,DK Enterprises,98.00,+15.29%
10,Venus Remedies,332.60,+14.87%
11,TAAL Enterprises,2689.00,+14.76%
12,CarTrade Tech,834.70,+14.57%
13,Eastern Logica Info,690.25,+14.47%
14,Kothari Petrochem,150.35,+14.38%
